State,District,Year,District Year,Dem%,Rep%,Oth%,M%,Winner
TX,4,2004,2004,29.6,70.4,0,40.7,Bush
TX,5,2004,2004,32.7,67.3,0,34.5,Bush
TX,6,2004,2004,33.5,66.5,0,33,Bush
TX,7,2004,2004,35.7,64.4,0,28.7,Bush
TX,8,2004,2004,27.5,72.5,0,44.9,Bush
TX,9,2004,2004,70,30,0,-40,Kerry
TX,10,2004,2004,38.1,61.9,0,23.8,Bush
TX,11,2004,2004,21.6,78.4,0,56.7,Bush
TX,12,2004,2004,33,67,0,34,Bush
TX,13,2004,2004,22.2,77.8,0,55.5,Bush
TX,14,2004,2004,32.8,67.2,0,34.4,Bush
TX,15,2004,2004,45.1,54.9,0,9.9,Bush
TX,16,2004,2004,56.5,43.5,0,-13,Kerry
TX,17,2004,2004,30.1,69.9,0,39.7,Bush
TX,18,2004,2004,72,28,0,-43.9,Kerry
TX,19,2004,2004,22.5,77.5,0,54.9,Bush
TX,20,2004,2004,55.1,44.9,0,-10.1,Kerry
TX,21,2004,2004,39.5,60.5,0,21,Bush
TX,22,2004,2004,35.6,64.4,0,28.7,Bush
TX,23,2004,2004,35.5,64.5,0,29,Bush
TX,24,2004,2004,34.9,65.1,0,30.2,Bush
TX,25,2004,2004,63,37,0,-26.1,Kerry
TX,26,2004,2004,35.4,64.6,0,29.2,Bush
TX,27,2004,2004,45,55,0,9.9,Bush
TX,28,2004,2004,47.5,52.5,0,5.1,Bush
TX,29,2004,2004,55.7,44.4,0,-11.3,Kerry
TX,30,2004,2004,75.1,24.9,0,-50.2,Kerry
TX,31,2004,2004,33.5,66.6,0,33.1,Bush
TX,32,2004,2004,40.4,59.7,0,19.3,Bush
UT,1,2004,2004,25,72.8,2.3,47.8,Bush
UT,2,2004,2004,31.4,66.1,2.5,34.7,Bush
UT,3,2004,2004,20.5,77.1,2.4,56.6,Bush
VT,1,2004,2004,58.9,38.8,2.3,-20.1,Kerry
VA,1,2004,2004,39.2,60.1,0.7,20.9,Bush
VA,2,2004,2004,41.5,57.7,0.8,16.2,Bush
VA,3,2004,2004,66.2,33.1,0.6,-33.1,Kerry
VA,4,2004,2004,42.6,56.8,0.6,14.1,Bush
VA,5,2004,2004,43,55.9,1.1,12.9,Bush
VA,6,2004,2004,35.8,63.1,1,27.3,Bush
VA,7,2004,2004,38.3,61.1,0.6,22.7,Bush
VA,8,2004,2004,63.9,35.2,0.9,-28.7,Kerry
VA,9,2004,2004,39.3,59.5,1.2,20.2,Bush
VA,10,2004,2004,44.1,55.1,0.8,11,Bush
VA,11,2004,2004,49.3,49.9,0.8,0.6,Bush
WA,1,2004,2004,56.2,42.5,1.3,-13.8,Kerry
